B9SL58       	6.3.4.4     
Q9SAJ4       	2.7.2.3     
Q9LZC3       	2.3.3.9     
P93394       	2.4.2.9     
Q9C998       	5.3.1.6     
C5Y8Z8       	6.3.5.7     
O22338       	2.5.1.6     
Q64J17       	2.1.1.77    
Q0DKY4       	2.5.1.6     
O82312       	2.7.7.19    
P93841       	2.7.1.148   
Q93ZB6       	4.1.1.37    
P52419       	2.4.2.14    
Q08047       	2.4.1.18    
Q9SE60       	1.5.1.20    
Q0D9C4       	1.11.1.6    
Q9LEI9       	4.2.1.11    
Q2QXB3       	1.14.99.29  
Q9LVM5       	3.5.2.17    
Q5N8G1       	2.7.7.60    
Q8GWF4       	1.8.4.12    
P48350       	1.11.1.6    
Q9SI64       	4.1.1.19    
Q9FV66       	4.1.1.31    
Q9FV65       	4.1.1.31    
Q60E60       	2.7.1.23    
O49809       	1.1.1.35    
Q10PL5       	2.7.1.159   
Q9G4F5       	3.6.3.25    
Q9ZP05       	1.1.1.37    
Q42538       	2.3.1.30    
Q84XA3       	1.1.1.205   
Q1W376       	5.4.2.8     
Q1W374       	5.4.2.8     
P29409       	2.7.2.3     
O82802       	1.8.7.1     
O80988       	1.4.4.2     
Q42946       	1.3.3.3     
Q75GS4       	1.1.1.22    
Q8H1S1       	2.4.1.123   
Q8H1S0       	1.13.99.1   
Q9ZV40       	2.4.1.207   
P23686       	2.5.1.6     
Q6SYB9       	2.5.1.6     
Q9SJL8       	2.5.1.6     
Q96412       	4.1.1.19    
Q40147       	5.4.3.8     
Q9LZS3       	2.4.1.18    
Q96255       	2.6.1.52    
P42737       	4.2.1.1     
Q9S7E4       	1.17.1.9    
Q42605       	5.1.3.2     
P42862       	5.3.1.9     
F4IV16       	2.7.6.2     
Q9FYV1       	5.5.1.4     
P26969       	1.4.4.2     
Q5DNB1       	2.5.1.6     
Q56TU3       	2.5.1.6     
Q56TU4       	2.5.1.6     
Q05763       	1.5.1.3     
Q43870       	2.7.7.4     
P50299       	2.5.1.6     
B8ANF1       	6.6.1.1     
Q688Q9       	6.3.2.2     
Q9FPS7       	3.4.19.12   
Q9FPS3       	3.4.19.12   
Q9FPS2       	3.4.19.12   
Q84V22       	4.1.1.65    
A6XMY9       	2.5.1.6     
Q2QXR8       	2.7.1.40    
Q2QS14       	1.1.1.22    
Q10LR9       	4.1.1.37    
Q8GTL5       	2.5.1.6     
Q94AR8       	4.2.1.33    
Q4H1G4       	2.5.1.6     
Q6GV10       	2.5.1.6     
Q9M591       	1.14.13.81  
Q94LA4       	4.2.1.24    
P54967       	2.8.1.6     
Q42368       	2.7.9.1     
P93819       	1.1.1.37    
P26301       	4.2.1.11    
P26300       	4.2.1.11    
P36428       	6.1.1.7     
P21820       	5.3.1.1     
B6TN12       	2.8.1.8     
A2YII8       	6.3.5.1     
Q9XFA2       	4.1.1.49    
O81014       	2.7.1.148   
P50218       	1.1.1.42    
F4JLM5       	6.1.1.5     
Q9LSS3       	4.6.1.16    
P07145       	1.11.1.6    
P29976       	2.5.1.54    
Q67XW5       	3.4.19.12   
Q42736       	2.7.9.1     
Q43064       	2.1.3.2     
P49077       	2.1.3.2     
Q9ZUR7       	2.3.1.35    
A7PRJ6       	2.5.1.6     
Q75W16       	2.5.1.54    
Q10Q80       	1.8.3.2     
Q9C920       	2.7.7.38    
Q9SRV5       	2.1.1.14    
Q9FJ79       	5.99.1.2    
Q9ZP54       	2.4.2.30    
Q9C5C8       	1.8.4.12    
P17562       	2.5.1.6     
Q9LIQ4       	2.7.1.50    
P12863       	5.3.1.1     
Q8LG58       	2.4.1.207   
Q9ZPI1       	6.1.1.6     
Q94CE4       	4.2.1.1     
Q9FKL9       	2.4.1.207   
P54151       	1.8.4.11    
P54153       	1.8.4.11    
P54152       	1.8.4.11    
Q6AVA8       	2.7.9.1     
A9NUH8       	2.5.1.6     
P52877       	2.6.1.52    
Q9C6F5       	4.2.1.1     
Q25A68       	6.3.5.7     
Q8LDN8       	5.1.3.2     
P24493       	4.2.1.24    
Q39735       	2.7.9.1     
Q8L5Y9       	2.7.1.33    
Q94AY1       	1.4.3.16    
A7Q0V4       	2.5.1.6     
Q42588       	2.3.1.30    
Q42586       	4.1.1.23    
Q42586       	2.4.2.10    
Q42583       	2.7.6.1     
Q42581       	2.7.6.1     
C0PN26       	2.8.1.8     
B9SZB6       	2.3.1.35    
A2X8W3       	1.1.1.34    
P48496       	5.3.1.1     
P48491       	5.3.1.1     
P48498       	2.5.1.6     
P23981       	2.5.1.19    
Q10MX3       	6.3.5.4     
O22229       	1.8.1.9     
Q05758       	1.1.1.86    
P42390       	4.2.1.20    
Q8W1L6       	1.1.1.35    
Q84MM2       	2.5.1.6     
Q9SB48       	1.6.2.4     
Q9ZWB7       	2.3.2.15    
Q10M74       	2.7.4.8     
Q41249       	1.3.1.33    
Q9M4D8       	4.1.1.50    
Q9SJ20       	1.17.4.1    
Q2QPW1       	2.7.4.8     
Q9FIK0       	2.7.1.11    
Q9M4W3       	4.6.1.12    
Q9LDN2       	4.1.1.23    
Q9LDN2       	2.4.2.10    
C5WPC2       	2.3.1.35    
Q9AU12       	4.1.1.31    
Q0DIV0       	4.99.1.1    
Q3LSN5       	2.8.1.8     
O82475       	4.1.1.19    
P09195       	3.1.3.11    
Q9C776       	2.3.2.8     
Q9FM01       	1.1.1.22    
O65581       	4.1.2.13    
P25269       	4.2.1.20    
Q7XPW5       	5.4.2.8     
P05466       	2.5.1.19    
Q38JH8       	2.5.1.6     
Q9SWW5       	2.3.2.15    
P17598       	1.11.1.6    
Q9SU38       	2.4.2.7     
Q9SZJ5       	2.1.2.1     
A2Y3Q5       	4.99.1.1    
Q7Y0Y8       	3.5.1.98    
Q9LK90       	3.6.3.1     
A9XLE1       	6.3.4.4     
Q9SUB4       	4.2.1.1     
A7NVX9       	2.5.1.6     
Q9SD76       	2.4.1.1     
P93629       	1.1.1.284   
O48721       	4.2.1.75    
A9PHE9       	2.5.1.6     
P47924       	3.5.4.25    
B0LXM0       	2.5.1.6     
Q9LFP0       	2.4.2.7     
Q9FKK7       	5.3.1.5     
Q9AXH0       	1.11.1.6    
Q9LTR9       	2.3.1.97    
P43256       	1.1.1.34    
O81893       	2.7.1.159   
Q9LX12       	5.5.1.4     
Q9SE42       	5.1.3.1     
A9P2P4       	2.5.1.6     
Q949Y0       	3.4.19.12   
Q9C9C4       	4.2.1.11    
Q9FVG8       	2.5.1.6     
P24260       	2.5.1.6     
Q9SLZ0       	4.1.1.49    
Q94KU1       	1.1.1.44    
P53536       	2.4.1.1     
Q9FXM4       	5.3.1.9     
O80402       	4.1.1.50    
O49818       	4.4.1.5     
Q43206       	1.11.1.6    
Q43209       	2.1.1.77    
Q7XPL2       	1.3.3.3     
Q42961       	2.7.2.3     
Q42962       	2.7.2.3     
Q42967       	4.1.1.37    
Q8GVE8       	4.1.1.31    
P55313       	1.11.1.6    
Q9M5L6       	1.11.1.6    
A2XAZ3       	1.1.1.284   
Q9FWK4       	4.2.1.104   
O64437       	5.5.1.4     
Q9LY14       	1.8.4.11    
Q39471       	5.3.3.2     
Q39472       	5.3.3.2     
A4PU48       	2.5.1.6     
P54904       	1.5.1.2     
P46281       	4.2.1.1     
P45739       	1.11.1.6    
Q944U4       	2.5.1.6     
Q9M336       	2.4.2.9     
Q43321       	4.2.1.11    
Q42843       	1.2.1.70    
Q9FWC1       	3.2.1.28    
Q39017       	2.7.1.107   
Q9ZNX6       	6.3.2.2     
B9TAD0       	6.3.4.4     
Q8VYW6       	3.4.19.13   
Q8VYW1       	2.7.7.19    
P42799       	5.4.3.8     
Q9FI13       	5.3.1.6     
Q9ZW34       	4.2.1.11    
Q6Q8A5       	2.7.1.1     
Q9FR37       	3.5.1.4     
P49093       	6.3.5.4     
P46510       	4.2.1.1     
Q9S7T9       	4.1.1.50    
Q9LUX9       	1.6.5.2     
Q7XQZ6       	2.7.1.158   
P93836       	1.13.11.27  
P93832       	1.1.1.85    
Q8RY24       	2.4.1.14    
P30124       	4.2.1.24    
O49707       	1.8.4.12    
O24339       	1.11.1.6    
P43281       	2.5.1.6     
P43280       	2.5.1.6     
P43282       	2.5.1.6     
P24226       	1.1.1.23    
Q39099       	2.4.1.207   
Q9LSQ5       	1.6.5.2     
P19252       	6.3.5.4     
Q9M4S8       	5.3.1.1     
P15804       	4.1.1.31    
C5WYI7       	4.2.1.104   
Q42521       	4.1.1.15    
Q42527       	5.3.1.24    
Q0E4K1       	1.11.1.6    
Q0DC89       	1.8.4.12    
Q6YV04       	3.5.1.98    
O23627       	6.1.1.14    
A7QJG1       	2.5.1.6     
Q43776       	6.1.1.6     
Q94B78       	1.4.4.2     
O82413       	6.1.1.21    
Q8W3Y4       	2.5.1.6     
Q9ZUC2       	4.2.1.1     
P34937       	5.3.1.1     
Q9C713       	6.1.1.19    
Q06197       	1.1.1.42    
Q8RXD9       	2.4.1.25    
O04015       	1.2.1.41    
O04016       	1.5.1.2     
P50300       	2.5.1.6     
P50301       	2.5.1.6     
Q56YN3       	2.7.1.23    
Q39659       	1.1.1.35    
Q9LI00       	1.1.1.44    
P46416       	6.3.2.3     
P54240       	5.3.1.9     
P54243       	5.3.1.9     
P54242       	5.3.1.9     
Q0DY59       	1.1.1.34    
B9I666       	2.8.1.8     
P25890       	1.11.1.6    
Q9FJI1       	2.7.4.3     
Q9FJI5       	1.1.1.49    
A9PDZ7       	2.5.1.6     
Q96529       	6.3.4.4     
Q96528       	1.11.1.6    
P17432       	2.3.3.9     
P42815       	3.1.27.1    
P93111       	1.2.1.70    
Q5EFU4       	1.14.13.81  
O24035       	6.3.2.1     
O82357       	2.1.2.11    
P29193       	4.1.1.31    
P29195       	4.1.1.31    
P29194       	4.1.1.31    
P29196       	4.1.1.31    
Q9ZQP2       	1.3.3.6     
Q7XUG1       	2.3.3.9     
Q9SIU0       	1.1.1.39    
Q9LNQ4       	3.6.3.1     
B8AA76       	2.8.1.8     
B8AVX5       	2.7.1.158   
Q9ZPS4       	4.1.1.15    
Q8LER3       	2.4.1.207   
Q9LDQ7       	2.5.1.6     
O80568       	2.7.1.159   
A2Z928       	1.2.1.70    
A3AF13       	3.4.19.12   
P48021       	1.1.1.34    
P21357       	2.5.1.54    
Q5JK24       	2.7.6.2     
Q9SA14       	1.1.1.85    
P42895       	4.2.1.11    
Q9M2T9       	6.1.1.10    
A9PHC5       	2.5.1.6     
B0F481       	6.3.3.3     
Q9SRW7       	2.7.1.25    
Q9SEC2       	1.8.4.11    
Q949Q0       	1.1.1.8     
P10748       	2.5.1.19    
Q9XEX4       	3.5.4.5     
Q9SF85       	2.7.1.20    
O81395       	2.1.1.45    
Q9ZTP4       	1.3.5.6     
Q9STG9       	2.4.2.14    
Q8VZG1       	2.7.1.107   
P93254       	2.5.1.6     
P93253       	3.3.1.1     
Q0DWH1       	1.1.1.284   
A7PQS0       	2.5.1.6     
Q84MD8       	2.7.1.26    
Q5NAY4       	1.1.1.23    
Q9SE20       	1.3.5.6     
Q10N79       	2.3.1.35    
P18492       	5.4.3.8     
B9GCH9       	3.5.1.5     
P22418       	3.1.3.11    
Q5JN42       	4.1.1.65    
Q9SEK2       	2.7.1.1     
Q307Y9       	2.5.1.6     
Q42572       	6.5.1.1     
Q43199       	2.4.2.7     
Q9LMI7       	1.3.3.6     
P46225       	5.3.1.1     
Q259G4       	5.4.2.8     
B9IJ21       	6.3.4.4     
Q9LE42       	2.3.1.48    
P32746       	1.3.5.2     
Q96552       	2.5.1.6     
Q9LI77       	6.3.5.7     
Q9LTX3       	1.4.3.5     
Q336R9       	1.8.4.11    
Q01647       	4.1.1.31    
Q05762       	1.5.1.3     
Q05762       	2.1.1.45    
Q05728       	6.3.3.1     
P54238       	5.3.1.9     
P54239       	5.3.1.9     
P54237       	5.3.1.9     
Q9M0F9       	2.7.1.11    
Q01297       	1.11.1.6    
Q43727       	1.1.1.49    
P07374       	3.5.1.5     
Q9LK23       	1.1.1.49    
P37822       	2.5.1.54    
O23732       	6.3.2.3     
Q10G56       	2.6.1.13    
P29356       	4.1.2.13    
Q96551       	2.5.1.6     
Q96555       	4.1.1.50    
P27608       	2.5.1.54    
Q38910       	2.4.1.207   
O23247       	6.1.1.19    
Q0E079       	3.5.4.25    
Q8VY86       	1.8.4.12    
Q9C8M2       	1.8.4.12    
Q9M315       	2.1.2.11    
O65595       	2.7.1.40    
P46309       	6.3.2.2     
P54888       	2.7.2.11    
Q01559       	1.1.1.34    
Q9FPL6       	2.5.1.6     
Q0J0S6       	5.99.1.2    
P51059       	4.1.1.31    
Q39230       	6.1.1.11    
Q6YU51       	2.2.1.7     
Q94KU2       	1.1.1.44    
Q8GV43       	3.1.4.11    
Q9FWA3       	1.1.1.44    
P47916       	2.5.1.6     
Q96348       	5.5.1.4     
Q9SR52       	3.5.1.5     
B7FM45       	2.8.1.8     
Q9SJX1       	1.2.1.70    
A2Z8F9       	4.2.1.104   
O48560       	1.11.1.6    
O48561       	1.11.1.6    
O24357       	1.1.1.49    
Q2QLY5       	2.1.1.14    
Q9C7W7       	5.1.3.2     
B5X4Z4       	2.3.1.1     
Q8LDW8       	3.1.2.6     
P42043       	4.99.1.1    
P42044       	4.99.1.1    
P42045       	4.99.1.1    
O65201       	1.3.3.6     
O65202       	1.3.3.6     
Q9ZR07       	1.16.3.1    
Q9T0A7       	5.1.3.2     
Q9LR75       	1.3.3.3     
P10490       	4.1.1.31    
O49078       	1.10.9.1    
Q42546       	3.1.3.7     
Q42547       	1.11.1.6    
Q6NLQ7       	4.1.99.12   
Q6Z234       	4.1.99.12   
Q6Z234       	3.5.4.25    
O50008       	2.1.1.14    
P46276       	3.1.3.11    
P46275       	3.1.3.11    
Q944C2       	3.1.4.11    
B8AJL9       	2.7.1.159   
Q4LB21       	2.5.1.6     
Q4LB22       	2.5.1.6     
Q9S726       	5.3.1.6     
Q9SVM4       	2.1.2.1     
P93033       	4.2.1.2     
O80585       	1.5.1.20    
Q08479       	2.7.4.3     
O48964       	5.3.3.2     
O65361       	1.2.1.41    
Q8H0W2       	3.5.1.98    
Q9C5W3       	2.7.1.23    
P54887       	2.7.2.11    
P49726       	4.1.1.19    
P57750       	5.4.2.3     
P34798       	1.7.3.3     
P34795       	5.3.1.9     
P34796       	5.3.1.9     
Q39639       	2.3.1.15    
Q56XM9       	2.7.7.19    
B7FKW7       	4.2.1.104   
P49105       	5.3.1.9     
Q42855       	4.1.1.37    
Q8GZQ3       	2.7.7.8     
Q9LV91       	2.4.1.25    
Q9FPT1       	3.4.19.12   
Q6SJV8       	1.14.13.81  
Q9SKP6       	5.3.1.1     
Q9T0J5       	2.4.2.14    
P49319       	1.11.1.6    
P49315       	1.11.1.6    
P49317       	1.11.1.6    
P31166       	2.4.2.7     
Q75IV7       	3.1.1.31    
Q9M0Z5       	1.8.4.12    
Q9XHH3       	1.11.1.6    
Q9SBQ5       	2.5.1.6     
P49284       	1.11.1.6    
A9P822       	2.5.1.6     
O24661       	6.3.5.4     
A2Y053       	2.5.1.6     
P52902       	1.2.4.1     
Q9AYU0       	1.6.5.2     
A7L2Z6       	2.5.1.6     
Q43087       	2.1.3.2     
Q43082       	2.5.1.61    
Q8GZ45       	6.1.1.3     
Q9M6K1       	4.1.1.50    
F4KAK5       	4.1.1.65    
P50302       	2.5.1.6     
Q9M1R2       	6.1.1.15    
P11043       	2.5.1.19    
B8BM17       	2.7.1.40    
Q84JF0       	2.7.1.25    
A0A1D6LAG9   	6.1.1.16    
Q43070       	5.1.3.2     
Q6F3F0       	2.5.1.6     
Q38908       	2.4.1.207   
Q84JT6       	1.8.4.12    
F4JQ95       	2.7.1.107   
B9NAN0       	2.3.1.35    
Q9AT55       	2.5.1.6     
Q9AT56       	2.5.1.6     
P42814       	3.1.27.1    
Q9LF98       	4.1.2.13    
Q9XEA0       	6.1.1.4     
Q43621       	1.8.1.7     
